George Orwell,1984,Companhia das Letras,1949
George Orwell,A Revolução dos Bichos,Companhia das Letras,1945
Aldous Huxley,Admirável Mundo Novo,Biblioteca Azul,1932
Ray Bradbury,Fahrenheit 451,Globo Livros,1953
J. R. R. Tolkien,O Hobbit,HarperCollins,1937
J. R. R. Tolkien,O Senhor dos Anéis: A Sociedade do Anel,HarperCollins,1954
J. R. R. Tolkien,O Senhor dos Anéis: As Duas Torres,HarperCollins,1954
J. R. R. Tolkien,O Senhor dos Anéis: O Retorno do Rei,HarperCollins,1955
Frank Herbert,Duna,Aleph,1965
Isaac Asimov,Fundação,Aleph,1951
Isaac Asimov,Eu Robô,Aleph,1950
Arthur C. Clarke,2001: Uma Odisseia no Espaço,Aleph,1968
Philip K. Dick,Androides Sonham com Ovelhas Elétricas?,Aleph,1968
William Gibson,Neuromancer,Aleph,1984
Ursula K. Le Guin,A Mão Esquerda da Escuridão,Aleph,1969
Douglas Adams,O Guia do Mochileiro das Galáxias,Arqueiro,1979
H. G. Wells,A Máquina do Tempo,Penguin-Companhia,1895
H. G. Wells,A Guerra dos Mundos,Penguin-Companhia,1898
Mary Shelley,Frankenstein,Penguin-Companhia,1818
Bram Stoker,Drácula,Zahar,1897
Machado de Assis,Dom Casmurro,Penguin-Companhia,1899
Machado de Assis,Memórias Póstumas de Brás Cubas,Penguin-Companhia,1881
Clarice Lispector,A Hora da Estrela,Rocco,1977
Graciliano Ramos,Vidas Secas,Record,1938
Guimarães Rosa,Grande Sertão: Veredas,Companhia das Letras,1956